Comune;Provincia;Denominazione sito;Indirizzo;Numero civico;ID Anagrafe;CampoUnivoco;                                                                                                                                                                 ##
ARCISATE;VARESE;Amm. Villa Cicogna Mazzoni sas;daje;;303;1;                                                                                                                                                                                           ##
ARCISATE;VARESE;ATAG;;;6;2;                                                                                                                                                                                                                           ##
BIANDRONNO;VARESE;Area Soc. Whirlpool e Soc. Moto Italia;Cassinetta;-;12467;3;                                                                                                                                                                        ##
BRUNELLO;VARESE;AREA INDUSTRIALE  CBM s.r.l.. - CLS s.r.l.;CAMPO DI MAGGIO;21;2096;4;                                                                                                                                                                 ##
BRUNELLO;VARESE;ex AREA ITALTRACTOR/PASSINI/ITM;Campo di Maggio;;16308;5;                                                                                                                                                                             ##
BUSTO ARSIZIO;VARESE;CONSORZIO ACCAM;COMUNALE DI ARCONATE;121;3263;6;                                                                                                                                                                                 ##
BUSTO ARSIZIO;VARESE;Ex area Piantanida;VIA ZAPPELLINI ANGOLO VICOLO LANDRIANI;;13835;7;                                                                                                                                                              ##
BUSTO ARSIZIO;VARESE;Ex manifattura di Ferno - Proprietà Interpart P. R. 2/02 -P.E. 128/03 e 129/03;Mazzini - Dei Mille;-;5063;8;                                                                                                                    ##
CARDANO AL CAMPO;VARESE;AREA CARABELLI-ex centrale idrocarburi;al Parco;48;15591;9;                                                                                                                                                                   ##
CARONNO PERTUSELLA;VARESE;BENASEDO SPA;ASIAGO;332;3278;10;                                                                                                                                                                                            ##
CARONNO PERTUSELLA;VARESE;dipharma francis srl;origgio;23;9086;11;                                                                                                                                                                                    ##
CARONNO PERTUSELLA;VARESE;Discarica abusiva rifiuti speciali;strada poderale in fregio SP 16;;1935;12;                                                                                                                                                ##
CARONNO PERTUSELLA;VARESE;SITAI INOX S.r.l.;ASIAGO;244;3632;13;                                                                                                                                                                                       ##
CASORATE SEMPIONE;VARESE;AEREOPORTO MALPENSA- Aree A - B- C - ex-RAM oggi RAI;aereoporto;;9307;14;                                                                                                                                                    ##
CASORATE SEMPIONE;VARESE;EX PV 3515, TOTAL Italia dismissione serbatoi;S.S 33 Sempione km 43+485;54;11106;15;                                                                                                                                         ##
CASSANO MAGNAGO;VARESE;ex Cava Gasparoli - Opera Infrastrutturale Pedemontana;tangenziale di Varese - tratta A8-A9 collegamento autostradale Dalmine-Como-Varese -Valico del Gaggiolo;;14986;16;                                                      ##
CASTELLANZA;VARESE;Area di Via Campo Sportivo;Campo Sportivo;;7833;17;                                                                                                                                                                                ##
CASTELLANZA;VARESE;AREA EX MONTEDISON;SEMPIONE;13;2961;18;                                                                                                                                                                                            ##
CASTELLANZA;VARESE;AREA VIA BRAMBILLA - PROPRIETA' PRIVATA;Brambilla;20;15886;19;                                                                                                                                                                     ##
CASTELLANZA;VARESE;EDIFICIO ARTIGIANALE EX TOTRNERIA MECCANICA;Brambilla;20;15887;20;                                                                                                                                                                 ##
CASTELLANZA;VARESE;Impianto di lavaggio Ditta Landini;Don Minzoni;52;5029;21;                                                                                                                                                                         ##
CASTRONNO;VARESE;AREA DI SERVIZIO AUTOSTRADA A8 - BRUGHIERA OVEST - P.V. ESSO 0665;A8;-;5174;22;                                                                                                                                                      ##
CISLAGO;VARESE;Area Via Vismara;Vismara;;9180;23;                                                                                                                                                                                                     ##
CITTIGLIO;VARESE;PUNTO VENDITA AGIP N. S7082;394;;3685;24;                                                                                                                                                                                            ##
CROSIO DELLA VALLE;VARESE;P.V. AGIP 2848;Risorgimento;12;5218;25;                                                                                                                                                                                     ##
DAVERIO;VARESE;proprietà Biasatti  Via Boffalora;Boffalora;-;5094;26;                                                                                                                                                                                ##
DAVERIO;VARESE;P.V. TOTAL;Battisti;75;6201;27;                                                                                                                                                                                                        ##
FAGNANO OLONA;VARESE;Sversamento di idrocarburi  Fiume Olona;Pastrengo;29;5217;28;                                                                                                                                                                    ##
